ID,企業名,グループ,業種,地域,残高,収益
000041,企業名000041,Bグループ,IT,北陸,3814714,65071
000042,企業名000042,Fグループ,衣料品,北海道,3872043,83987
000043,企業名000043,Eグループ,出版,山陽,2098201,93047
000044,企業名000044,Uグループ,流通,山陽,4005847,6328
000045,企業名000045,Eグループ,金融,東北,681923,46104
000046,企業名000046,Qグループ,流通,四国,2860616,38882
000047,企業名000047,Sグループ,流通,四国,3184435,70975
000048,企業名000048,Hグループ,自動車,関東,4835791,8900
000049,企業名000049,Vグループ,通販,山陽,602367,98428
000050,企業名000050,Wグループ,金融,関西,904588,22688
000051,企業名000051,Uグループ,自動車,関東,1585104,95020
000052,企業名000052,Qグループ,出版,東北,600642,66295
000053,企業名000053,Jグループ,医療,山陽,1854415,8493
000054,企業名000054,Eグループ,金融,東海,2087237,63656
000055,企業名000055,Iグループ,衣料品,山陽,3927490,85547
000056,企業名000056,Kグループ,出版,東北,204641,20860
000057,企業名000057,Vグループ,金融,東北,4573374,9562
000058,企業名000058,Dグループ,IT,北陸,3238808,12523
000059,企業名000059,Xグループ,旅行,北海道,2996674,60532
000060,企業名000060,Uグループ,衣料品,九州,890993,80817
000061,企業名000061,Oグループ,倉庫,北陸,4605443,34799
000062,企業名000062,Sグループ,通販,山陽,2484766,9226
000063,企業名000063,Cグループ,衣料品,九州,4142283,59929
000064,企業名000064,Gグループ,衣料品,九州,1989948,73257
000065,企業名000065,Eグループ,食品,東北,998643,10392
000066,企業名000066,Uグループ,IT,四国,2736430,87151
000067,企業名000067,Fグループ,医療,関東,93204,11704
000068,企業名000068,Jグループ,通販,関東,510242,5752
000069,企業名000069,Fグループ,出版,東海,3762628,39490
000070,企業名000070,Iグループ,通販,東北,1020919,50117
000071,企業名000071,Kグループ,IT,東海,1054760,23757
000072,企業名000072,Oグループ,出版,四国,826189,79522
000073,企業名000073,Gグループ,金融,北海道,607357,63549
000074,企業名000074,Hグループ,旅行,山陽,220680,57143
000075,企業名000075,Wグループ,流通,関西,4269985,92998
000076,企業名000076,Uグループ,医療,九州,4085120,34654
000077,企業名000077,Wグループ,金融,北陸,91578,96449
000078,企業名000078,Lグループ,衣料品,東海,1582126,33542
000079,企業名000079,Lグループ,衣料品,関西,4773890,1843
000080,企業名000080,Qグループ,流通,北陸,3120715,23332
000081,企業名000081,Uグループ,旅行,関西,1016219,37292
000082,企業名000082,Aグループ,旅行,関西,749048,76130
000083,企業名000083,Qグループ,流通,九州,1809202,86201
000084,企業名000084,Iグループ,旅行,山陽,3009630,9718
000085,企業名000085,Dグループ,通販,関東,3631437,83781
000086,企業名000086,Tグループ,金融,関東,141595,19977
000087,企業名000087,Yグループ,食品,東北,1966229,98820
000088,企業名000088,Aグループ,流通,山陽,2839927,59404
000089,企業名000089,Xグループ,自動車,北陸,2013105,33088
000090,企業名000090,Cグループ,自動車,北陸,2776941,75166
000091,企業名000091,Mグループ,倉庫,四国,2256197,76055
000092,企業名000092,Iグループ,流通,関東,2087161,80088
000093,企業名000093,Tグループ,IT,山陽,3637801,62942
000094,企業名000094,Rグループ,通販,四国,2007375,81378
000095,企業名000095,Cグループ,出版,北海道,2685870,15105
000096,企業名000096,Xグループ,医療,北陸,937371,59032
000097,企業名000097,Bグループ,通販,九州,1014530,41104
000098,企業名000098,Hグループ,旅行,東海,575276,67535
000099,企業名000099,Eグループ,倉庫,東北,574280,39438
000100,企業名000100,Uグループ,医療,東北,509114,13051
000101,企業名000101,Uグループ,IT,北海道,3490620,23287
000102,企業名000102,Lグループ,出版,九州,2153176,56530
000103,企業名000103,Aグループ,衣料品,北海道,4895598,69270
000104,企業名000104,Oグループ,出版,関西,956747,73100
000105,企業名000105,Dグループ,金融,東北,2613109,69003
000106,企業名000106,Sグループ,通販,北陸,3372503,57191
000107,企業名000107,Bグループ,金融,九州,820508,31510
000108,企業名000108,Iグループ,流通,関西,3469169,52667
000109,企業名000109,Zグループ,旅行,東北,4448500,42390
000110,企業名000110,Gグループ,旅行,四国,2444603,55150
000111,企業名000111,Bグループ,衣料品,北海道,4872326,77657
000112,企業名000112,Jグループ,通販,北海道,774567,13897
000113,企業名000113,Rグループ,旅行,山陽,1976146,59740
000114,企業名000114,Tグループ,金融,山陽,1439656,93036
000115,企業名000115,Lグループ,金融,東海,534932,64177
000116,企業名000116,Jグループ,旅行,九州,760538,85266
000117,企業名000117,Mグループ,倉庫,山陽,560387,91450
000118,企業名000118,Sグループ,倉庫,関東,3666040,90910
000119,企業名000119,Hグループ,出版,関西,123899,81128
000120,企業名000120,Oグループ,倉庫,山陽,1504150,73909
000121,企業名000121,Qグループ,医療,東北,3891267,90791
000122,企業名000122,Jグループ,食品,関西,1698358,1911
000123,企業名000123,Yグループ,倉庫,北陸,1834037,8717
000124,企業名000124,Gグループ,食品,九州,287323,28480
000125,企業名000125,Gグループ,IT,山陽,2105501,77595
000126,企業名000126,Iグループ,衣料品,東北,793929,50201
000127,企業名000127,Fグループ,衣料品,北海道,797793,36941
000128,企業名000128,Iグループ,金融,東北,3696908,29208
000129,企業名000129,Gグループ,衣料品,東北,486421,97226
000130,企業名000130,Iグループ,食品,四国,2426799,63504
000131,企業名000131,Uグループ,衣料品,北陸,4992566,53824
000132,企業名000132,Dグループ,IT,北海道,3883268,6757
000133,企業名000133,Gグループ,衣料品,九州,1068534,98668
000134,企業名000134,Mグループ,通販,北陸,4661474,10891
000135,企業名000135,Gグループ,IT,四国,2732065,54268
000136,企業名000136,Zグループ,出版,東北,3113797,84635
000137,企業名000137,Vグループ,医療,東海,2222454,58973
000138,企業名000138,Rグループ,旅行,東海,1697947,53397
000139,企業名000139,Cグループ,倉庫,東北,2988543,28458
000140,企業名000140,Wグループ,医療,関東,4352205,24387
000141,企業名000141,Rグループ,医療,関東,2112902,81084
000142,企業名000142,Vグループ,倉庫,関東,4208946,19185
000143,企業名000143,Kグループ,流通,山陽,839093,14067
000144,企業名000144,Rグループ,IT,北陸,4220871,41448
000145,企業名000145,Dグループ,食品,北陸,302007,85777
000146,企業名000146,Uグループ,食品,四国,4792991,79250
000147,企業名000147,Vグループ,流通,九州,4179115,28599
000148,企業名000148,Fグループ,流通,四国,2761499,8734
000149,企業名000149,Eグループ,自動車,北陸,2958150,27248
000150,企業名000150,Nグループ,自動車,関西,3754336,48921
000151,企業名000151,Vグループ,流通,北海道,1895016,2969
000152,企業名000152,Xグループ,IT,関西,3859043,45838
000153,企業名000153,Uグループ,旅行,山陽,366857,16660
000154,企業名000154,Nグループ,流通,北海道,3328503,57896
000155,企業名000155,Yグループ,流通,九州,1406919,52026
000156,企業名000156,Nグループ,医療,東海,1347194,31486
000157,企業名000157,Oグループ,IT,関西,1024306,6442
000158,企業名000158,Pグループ,金融,山陽,720911,87876
000159,企業名000159,Lグループ,医療,四国,410840,11008
000160,企業名000160,Zグループ,通販,山陽,4728115,49532
000161,企業名000161,Iグループ,流通,関西,2823041,4619
000162,企業名000162,Kグループ,金融,関西,2534971,66632
000163,企業名000163,Hグループ,倉庫,北海道,3265299,7186
000164,企業名000164,Cグループ,医療,関西,4338788,99081
000165,企業名000165,Vグループ,IT,四国,3087303,132
000166,企業名000166,Oグループ,倉庫,関東,3308634,60869
000167,企業名000167,Kグループ,流通,関東,2535925,31459
000168,企業名000168,Wグループ,衣料品,北海道,4290013,77890
000169,企業名000169,Eグループ,通販,関西,1855445,27862
000170,企業名000170,Yグループ,IT,東北,3840986,76918
000171,企業名000171,Uグループ,旅行,関東,2693437,44936
000172,企業名000172,Rグループ,医療,北陸,1876792,84779
000173,企業名000173,Iグループ,食品,北陸,2444036,32469
000174,企業名000174,Oグループ,食品,山陽,903704,2689
000175,企業名000175,Iグループ,旅行,山陽,3538177,584
000176,企業名000176,Lグループ,通販,九州,1365454,49461
000177,企業名000177,Oグループ,通販,関西,3301918,33295
000178,企業名000178,Iグループ,自動車,山陽,3601889,95016
000179,企業名000179,Jグループ,医療,関西,1818667,92558
000180,企業名000180,Iグループ,倉庫,四国,3003460,32655
000181,企業名000181,Dグループ,通販,東北,3320682,91723
000182,企業名000182,Kグループ,医療,東北,4677593,47726
000183,企業名000183,Dグループ,出版,北陸,1899472,10558
000184,企業名000184,Kグループ,衣料品,東北,2979008,62314
000185,企業名000185,Nグループ,通販,北海道,2815446,16619
000186,企業名000186,Hグループ,食品,山陽,462069,68070
000187,企業名000187,Aグループ,旅行,九州,76335,71809
000188,企業名000188,Pグループ,自動車,九州,1345979,15844
000189,企業名000189,Aグループ,食品,関東,1705085,63599
000190,企業名000190,Yグループ,医療,東海,4904486,35318
000191,企業名000191,Kグループ,出版,北海道,2296135,64350
000192,企業名000192,Qグループ,旅行,北陸,1887604,1271
000193,企業名000193,Pグループ,食品,山陽,1001881,88151
000194,企業名000194,Kグループ,衣料品,北陸,2869716,44906
000195,企業名000195,Xグループ,倉庫,東海,2210834,78248
000196,企業名000196,Aグループ,食品,北陸,2267199,98875
000197,企業名000197,Oグループ,通販,九州,2078467,65252
000198,企業名000198,Lグループ,IT,東海,3684868,28275
000199,企業名000199,Bグループ,金融,東北,637278,26862
000200,企業名000200,Mグループ,倉庫,東北,2732920,58455
000201,企業名000201,Vグループ,自動車,四国,3800229,81979
000202,企業名000202,Mグループ,食品,山陽,2643864,36127
000203,企業名000203,Mグループ,倉庫,北陸,2192075,48114
000204,企業名000204,Zグループ,流通,関西,1101783,2469
000205,企業名000205,Pグループ,通販,東北,1871681,46695
000206,企業名000206,Pグループ,自動車,四国,1806961,82962
000207,企業名000207,Pグループ,通販,九州,4882656,72921
000208,企業名000208,Bグループ,IT,関西,1528866,41380
000209,企業名000209,Aグループ,IT,関東,3880155,23194
000210,企業名000210,Iグループ,自動車,北陸,195251,51971
000211,企業名000211,Gグループ,食品,山陽,2030983,83707
000212,企業名000212,Cグループ,衣料品,北陸,2613817,99896
000213,企業名000213,Wグループ,倉庫,北陸,2033283,10351
000214,企業名000214,Jグループ,出版,北陸,621925,54898
000215,企業名000215,Gグループ,医療,北陸,2222503,23448
000216,企業名000216,Nグループ,食品,北海道,245522,66332
000217,企業名000217,Tグループ,流通,関西,4783486,98255
000218,企業名000218,Mグループ,通販,北海道,2088435,69254
000219,企業名000219,Dグループ,流通,山陽,2807584,90664
000220,企業名000220,Mグループ,出版,東海,3930945,43496
000221,企業名000221,Pグループ,金融,関東,258194,85966
000222,企業名000222,Xグループ,旅行,北陸,3106577,58403
000223,企業名000223,Eグループ,自動車,関東,4741218,24460
000224,企業名000224,Pグループ,自動車,北陸,1363315,74078
000225,企業名000225,Zグループ,倉庫,九州,4979633,51249
000226,企業名000226,Pグループ,流通,東海,3607038,76106
000227,企業名000227,Xグループ,IT,四国,4099688,52389
000228,企業名000228,Wグループ,自動車,北海道,37176,68623
000229,企業名000229,Tグループ,出版,北陸,1909501,72526
000230,企業名000230,Hグループ,自動車,東海,3489251,36842
000231,企業名000231,Tグループ,通販,九州,1544977,16321
000232,企業名000232,Sグループ,出版,北陸,3767994,15532
000233,企業名000233,Oグループ,食品,東海,4525818,37519
000234,企業名000234,Bグループ,金融,関西,330711,2818
000235,企業名000235,Vグループ,食品,東海,2189853,3566
000236,企業名000236,Yグループ,通販,北陸,577230,58696
000237,企業名000237,Eグループ,流通,九州,4076115,41333
000238,企業名000238,Bグループ,流通,関西,3293824,57785
000239,企業名000239,Bグループ,通販,九州,4889092,30540
000240,企業名000240,Vグループ,出版,北海道,3687141,86408
000241,企業名000241,Tグループ,自動車,北陸,4714819,30453
000242,企業名000242,Aグループ,衣料品,北海道,4692183,76533
000243,企業名000243,Lグループ,流通,東海,2914675,91939
000244,企業名000244,Nグループ,旅行,東海,4534239,83213
000245,企業名000245,Mグループ,通販,北海道,1850276,8225
000246,企業名000246,Uグループ,医療,関西,4981896,6808
000247,企業名000247,Qグループ,出版,関東,2794721,92685
000248,企業名000248,Eグループ,倉庫,四国,2599805,12697
000249,企業名000249,Xグループ,倉庫,九州,1673301,92645
000250,企業名000250,Sグループ,自動車,関東,370805,56826
000251,企業名000251,Iグループ,倉庫,東海,4840911,85233
000252,企業名000252,Iグループ,自動車,東北,1074481,61726
000253,企業名000253,Qグループ,IT,東海,822533,41355
000254,企業名000254,Mグループ,医療,山陽,779350,3809
000255,企業名000255,Dグループ,旅行,東海,3576285,43405
000256,企業名000256,Hグループ,旅行,山陽,337108,25509
000257,企業名000257,Dグループ,金融,北海道,2428829,28286
000258,企業名000258,Dグループ,倉庫,関東,4978174,16603
000259,企業名000259,Tグループ,倉庫,北海道,158728,3023
000260,企業名000260,Iグループ,流通,関東,4461235,27610
000261,企業名000261,Pグループ,IT,九州,3754059,33640
000262,企業名000262,Gグループ,出版,東海,3270588,18781
000263,企業名000263,Hグループ,衣料品,東北,3645312,69921
000264,企業名000264,Gグループ,自動車,関西,4432711,36598
000265,企業名000265,Pグループ,衣料品,関東,4498345,1688
000266,企業名000266,Uグループ,自動車,東北,1077404,92884
000267,企業名000267,Lグループ,食品,関東,4500326,47550
000268,企業名000268,Iグループ,金融,北海道,1529728,45925
000269,企業名000269,Tグループ,旅行,東北,3312716,13987
000270,企業名000270,Pグループ,食品,北海道,866186,79561
000271,企業名000271,Lグループ,自動車,北海道,1787491,933
000272,企業名000272,Hグループ,流通,関西,4573436,91798
000273,企業名000273,Uグループ,金融,東海,345193,62596
000274,企業名000274,Hグループ,倉庫,北陸,1528787,59507
000275,企業名000275,Xグループ,旅行,山陽,1352612,16136
000276,企業名000276,Lグループ,通販,九州,4531801,41890
000277,企業名000277,Hグループ,旅行,四国,2663907,6275
000278,企業名000278,Tグループ,出版,四国,3402503,40309
000279,企業名000279,Qグループ,衣料品,九州,2233907,46817
000280,企業名000280,Iグループ,旅行,東海,2960997,53269
000281,企業名000281,Uグループ,衣料品,九州,3096816,77392
000282,企業名000282,Bグループ,食品,北陸,2209535,29496
000283,企業名000283,Vグループ,倉庫,東北,2391407,40033
000284,企業名000284,Oグループ,食品,山陽,3959662,94840
000285,企業名000285,Vグループ,出版,山陽,1064874,30091
000286,企業名000286,Jグループ,流通,関西,162870,8865
000287,企業名000287,Zグループ,通販,北陸,2257708,76102
000288,企業名000288,Eグループ,旅行,関西,3797370,61599
000289,企業名000289,Vグループ,医療,四国,4287794,44705
000290,企業名000290,Iグループ,旅行,北海道,4458519,45523
000291,企業名000291,Qグループ,食品,北海道,417511,24713
000292,企業名000292,Uグループ,衣料品,九州,4852181,72015
000293,企業名000293,Nグループ,食品,九州,1705983,16532
000294,企業名000294,Iグループ,倉庫,四国,336787,83456
000295,企業名000295,Kグループ,倉庫,関東,4913248,16817
000296,企業名000296,Kグループ,旅行,北海道,597955,20392
000297,企業名000297,Yグループ,衣料品,北陸,4987909,25944
000298,企業名000298,Uグループ,出版,北陸,2258540,3402
000299,企業名000299,Hグループ,IT,関東,707930,3111
000300,企業名000300,Wグループ,流通,関西,1072977,44338
000301,企業名000301,Hグループ,食品,四国,4361409,68341
000302,企業名000302,Hグループ,流通,九州,2949971,85463
000303,企業名000303,Tグループ,流通,九州,1870128,83686
000304,企業名000304,Hグループ,出版,東北,22603,52642
000305,企業名000305,Uグループ,医療,四国,3296162,82221
000306,企業名000306,Rグループ,金融,北海道,679274,8562
000307,企業名000307,Vグループ,衣料品,東北,2906254,6543
000308,企業名000308,Lグループ,出版,北海道,4867020,2700
000309,企業名000309,Eグループ,医療,関西,2722514,4763
000310,企業名000310,Kグループ,通販,関西,2024102,44861
000311,企業名000311,Qグループ,出版,東北,2890383,14774
000312,企業名000312,Wグループ,IT,関西,2453549,5923
000313,企業名000313,Dグループ,出版,北陸,1280098,28246
000314,企業名000314,Eグループ,医療,山陽,3608213,92210
000315,企業名000315,Zグループ,自動車,北海道,3804661,43036
000316,企業名000316,Nグループ,通販,関西,2180188,35564
000317,企業名000317,Uグループ,出版,山陽,3822100,21905
000318,企業名000318,Vグループ,衣料品,東海,2602936,41850
000319,企業名000319,Hグループ,食品,四国,3430532,89146
000320,企業名000320,Jグループ,旅行,北海道,1498187,33154
000321,企業名000321,Pグループ,食品,関東,1185859,37408
000322,企業名000322,Tグループ,通販,東北,423692,80805
000323,企業名000323,Dグループ,流通,東北,795192,34710
000324,企業名000324,Jグループ,流通,九州,3287234,8482
000325,企業名000325,Tグループ,倉庫,東北,1746222,4632
000326,企業名000326,Jグループ,出版,関東,4639979,12009
000327,企業名000327,Fグループ,食品,東海,1887461,61621
000328,企業名000328,Vグループ,旅行,九州,2736849,66552
000329,企業名000329,Pグループ,通販,九州,640546,36723
000330,企業名000330,Wグループ,食品,東海,531594,9590
000331,企業名000331,Mグループ,IT,九州,313966,28973
000332,企業名000332,Nグループ,医療,東北,3512421,90946
000333,企業名000333,Dグループ,自動車,四国,3038982,64655
000334,企業名000334,Sグループ,食品,関西,5470,57847
000335,企業名000335,Fグループ,IT,山陽,4846878,94134
000336,企業名000336,Tグループ,旅行,山陽,1143926,70048
000337,企業名000337,Kグループ,IT,四国,628672,11634
000338,企業名000338,Hグループ,自動車,関東,2117024,85028
000339,企業名000339,Bグループ,衣料品,北陸,3501348,91740
000340,企業名000340,Pグループ,IT,関東,4426011,19582
000341,企業名000341,Kグループ,IT,九州,2425349,4652
000342,企業名000342,Bグループ,旅行,九州,1992233,75043
000343,企業名000343,Iグループ,通販,東海,3805098,18387
000344,企業名000344,Wグループ,旅行,北海道,800123,89305
000345,企業名000345,Oグループ,医療,東北,2267455,68152
000346,企業名000346,Nグループ,自動車,東海,3493115,44574
000347,企業名000347,Iグループ,流通,九州,2099285,37798
000348,企業名000348,Dグループ,IT,九州,2905312,98093
000349,企業名000349,Yグループ,倉庫,東北,3595480,37248
000350,企業名000350,Pグループ,倉庫,北海道,471134,98173
000351,企業名000351,Hグループ,IT,山陽,2966487,7438
000352,企業名000352,Dグループ,通販,四国,1650282,2144
000353,企業名000353,Cグループ,流通,関西,2165540,93565
000354,企業名000354,Dグループ,通販,北陸,3400099,52389
000355,企業名000355,Jグループ,通販,北海道,4078640,95420
000356,企業名000356,Nグループ,倉庫,北海道,2945564,20968
000357,企業名000357,Vグループ,出版,山陽,2739051,52311
000358,企業名000358,Nグループ,IT,北海道,313801,83274
000359,企業名000359,Hグループ,医療,四国,1272388,55794
000360,企業名000360,Jグループ,医療,九州,4344471,79928
000361,企業名000361,Dグループ,通販,関西,1164692,42062
000362,企業名000362,Jグループ,衣料品,東北,1663610,52782
000363,企業名000363,Cグループ,通販,関東,2467414,75764
000364,企業名000364,Zグループ,衣料品,北海道,3289569,57385
000365,企業名000365,Iグループ,食品,北陸,3434350,53
000366,企業名000366,Rグループ,金融,関西,2758000,82556
000367,企業名000367,Pグループ,IT,四国,1324963,97462
000368,企業名000368,Qグループ,衣料品,東北,3867617,12228
000369,企業名000369,Gグループ,流通,東北,1912793,77784
000370,企業名000370,Xグループ,通販,北陸,4969977,76286
000371,企業名000371,Eグループ,出版,山陽,1744922,64755
000372,企業名000372,Vグループ,流通,関東,1378730,61420
000373,企業名000373,Oグループ,旅行,北海道,2181138,83546
000374,企業名000374,Gグループ,流通,東海,1425107,85403
000375,企業名000375,Vグループ,食品,北陸,224121,59993
000376,企業名000376,Xグループ,通販,九州,3490993,43177
000377,企業名000377,Mグループ,倉庫,関西,627292,30429
000378,企業名000378,Qグループ,倉庫,北陸,466230,41870
000379,企業名000379,Nグループ,IT,東海,383425,4771
000380,企業名000380,Cグループ,出版,関東,1169821,18031
000381,企業名000381,Mグループ,通販,北海道,1835018,31198
000382,企業名000382,Fグループ,通販,関東,2625197,92417
000383,企業名000383,Vグループ,倉庫,東海,2931930,91364
000384,企業名000384,Uグループ,医療,四国,4791226,74766
000385,企業名000385,Aグループ,自動車,東北,1829034,71708
000386,企業名000386,Vグループ,倉庫,関西,3978848,47303
000387,企業名000387,Gグループ,金融,北陸,722882,50557
000388,企業名000388,Mグループ,流通,四国,3620810,67412
000389,企業名000389,Xグループ,医療,北海道,3199436,96629
000390,企業名000390,Lグループ,IT,関東,4219121,42007
000391,企業名000391,Cグループ,IT,東海,4771375,36940
000392,企業名000392,Xグループ,IT,東北,3939575,16957
000393,企業名000393,Mグループ,通販,北陸,1495344,50285
000394,企業名000394,Wグループ,流通,関東,260480,53669
000395,企業名000395,Dグループ,通販,関東,2179013,75040
000396,企業名000396,Jグループ,出版,関西,922281,18459
000397,企業名000397,Bグループ,出版,九州,706702,47852
000398,企業名000398,Kグループ,流通,山陽,3388813,86555
000399,企業名000399,Nグループ,医療,東北,3442354,97132
000400,企業名000400,Uグループ,流通,四国,574192,43969
000401,企業名000401,Qグループ,自動車,関東,208576,6594
000402,企業名000402,Aグループ,衣料品,九州,4948665,88949
000403,企業名000403,Fグループ,流通,山陽,451877,6615
000404,企業名000404,Mグループ,食品,東北,4915806,76650
000405,企業名000405,Dグループ,食品,山陽,2875979,93161
000406,企業名000406,Dグループ,出版,東北,3907625,56507
000407,企業名000407,Fグループ,金融,山陽,3705710,63342
000408,企業名000408,Oグループ,IT,関西,2217077,43496
000409,企業名000409,Sグループ,食品,四国,1957516,19367
000410,企業名000410,Eグループ,医療,東海,1397192,74296
000411,企業名000411,Cグループ,食品,北陸,1109104,28087
000412,企業名000412,Xグループ,金融,九州,2318328,13991
000413,企業名000413,Hグループ,金融,九州,1781502,19887
000414,企業名000414,Yグループ,衣料品,北海道,2216872,73560
000415,企業名000415,Mグループ,倉庫,北海道,4678465,68131
000416,企業名000416,Rグループ,流通,九州,1772960,4608
000417,企業名000417,Bグループ,金融,東北,2232615,39362
000418,企業名000418,Uグループ,金融,関東,840517,62815
000419,企業名000419,Hグループ,自動車,北陸,895587,51422
000420,企業名000420,Wグループ,旅行,東海,470509,95226
000421,企業名000421,Zグループ,衣料品,山陽,2638755,96119
000422,企業名000422,Mグループ,旅行,東北,2592870,31109
000423,企業名000423,Fグループ,倉庫,東海,1416027,88517
000424,企業名000424,Gグループ,医療,山陽,4651799,81307
000425,企業名000425,Xグループ,自動車,東海,3621769,11764
000426,企業名000426,Iグループ,IT,関西,3140640,83854
000427,企業名000427,Uグループ,出版,関東,4956656,88469
000428,企業名000428,Rグループ,通販,北陸,3133792,65837
000429,企業名000429,Eグループ,通販,山陽,475770,75735
000430,企業名000430,Cグループ,衣料品,山陽,3264568,6151
000431,企業名000431,Mグループ,医療,九州,2560191,46460
000432,企業名000432,Qグループ,食品,東北,359239,33612
000433,企業名000433,Sグループ,金融,北陸,4633034,92181
000434,企業名000434,Aグループ,倉庫,北陸,1435876,22907
000435,企業名000435,Tグループ,倉庫,東北,1450041,50798
000436,企業名000436,Jグループ,通販,関西,1896987,85965
000437,企業名000437,Fグループ,自動車,山陽,2790533,60414
000438,企業名000438,Uグループ,医療,東北,4344943,45204
000439,企業名000439,Nグループ,IT,四国,1300158,40406
000440,企業名000440,Lグループ,通販,九州,4497705,37673
000441,企業名000441,Oグループ,IT,関西,1441763,66715
000442,企業名000442,Dグループ,金融,関東,3014199,4334
000443,企業名000443,Pグループ,旅行,四国,814996,9766
000444,企業名000444,Aグループ,出版,四国,3287188,48904
000445,企業名000445,Gグループ,倉庫,北陸,4778503,62357
000446,企業名000446,Yグループ,食品,北陸,327508,36054
000447,企業名000447,Uグループ,医療,東海,3216320,60940
000448,企業名000448,Iグループ,自動車,四国,1961281,62473
000449,企業名000449,Cグループ,通販,山陽,3172657,40115
000450,企業名000450,Tグループ,食品,東北,214359,45953
000451,企業名000451,Wグループ,食品,北海道,1507398,98755
000452,企業名000452,Rグループ,自動車,東北,2227947,17422
000453,企業名000453,Zグループ,流通,九州,3779781,76799
000454,企業名000454,Mグループ,自動車,九州,2188973,31559
000455,企業名000455,Yグループ,医療,北陸,871933,51108
000456,企業名000456,Oグループ,医療,山陽,5337,43333
000457,企業名000457,Eグループ,通販,東海,4245747,5446
000458,企業名000458,Yグループ,衣料品,関西,95006,79039
000459,企業名000459,Pグループ,旅行,北陸,1120266,55223
000460,企業名000460,Jグループ,出版,九州,3461354,94258
000461,企業名000461,Sグループ,倉庫,四国,1422150,55674
000462,企業名000462,Zグループ,食品,四国,1110710,36436
000463,企業名000463,Oグループ,自動車,関西,2559805,45321
000464,企業名000464,Rグループ,IT,四国,1250250,42873
000465,企業名000465,Hグループ,医療,九州,575177,15477
000466,企業名000466,Kグループ,流通,北海道,430719,4550
000467,企業名000467,Hグループ,衣料品,山陽,4464009,68763
000468,企業名000468,Eグループ,自動車,九州,2610883,70088
000469,企業名000469,Yグループ,出版,山陽,2159252,44635
000470,企業名000470,Oグループ,流通,北陸,1309864,75164
000471,企業名000471,Eグループ,通販,山陽,158686,97012
000472,企業名000472,Gグループ,衣料品,四国,4055667,78338
000473,企業名000473,Uグループ,流通,九州,74357,87485
000474,企業名000474,Iグループ,医療,東北,2817478,36806
000475,企業名000475,Nグループ,医療,九州,1190689,53044
000476,企業名000476,Lグループ,旅行,九州,975317,16518
000477,企業名000477,Xグループ,IT,関東,1174778,34005
000478,企業名000478,Nグループ,医療,北陸,4598325,86800
000479,企業名000479,Tグループ,流通,九州,1775820,55973
000480,企業名000480,Mグループ,通販,東海,618047,59967
000481,企業名000481,Jグループ,流通,北海道,2317660,66547
000482,企業名000482,Hグループ,旅行,東海,709979,61217
000483,企業名000483,Bグループ,自動車,東海,1937248,21872
000484,企業名000484,Lグループ,通販,東海,232680,23909
000485,企業名000485,Bグループ,食品,東海,4251910,54291
